Noun	Region	Condition	Script	ID	predictability_weight	deletion_rate	autoencoder	lm	Surprisal	SurprisalReweighted	ThatFraction	ThatFractionReweighted
85	fact	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.968	10.968	100	99.619
86	fact	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.124	9.119	100	99.667
87	fact	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.483	10.467	99.143	99
88	fact	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.007	8.925	99.214	98.976
89	feeling	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.031	11.01	100	99.048
90	feeling	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.635	9.578	100	99
91	feeling	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.35	10.317	98.929	98.31
92	feeling	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.06	8.985	97.643	97.048
93	finding	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.153	11.153	100	99.024
94	finding	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.543	9.499	100	99.024
95	finding	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.554	10.494	98.214	97.333
96	finding	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	8.956	8.849	98.262	97.333
97	guess	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.03	10.963	100	99
98	guess	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.579	9.48	99.786	98.833
99	guess	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.613	10.564	98.476	97.762
100	guess	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.474	9.415	98.19	97.405
101	idea	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	12.214	12.205	99.81	98.833
102	idea	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.594	10.593	100	99.024
103	idea	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.851	10.804	97.286	96.595
104	idea	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.501	9.39	98.167	97.405
105	impression	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.888	10.885	99.929	98.81
106	impression	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.52	9.516	100	99
107	impression	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.218	10.197	99.119	97.976
108	impression	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.072	9.03	99.119	97.738
109	indication	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.209	11.165	99.69	98.714
110	indication	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.657	9.54	99.786	98.833
111	indication	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.725	10.672	98.286	97.571
112	indication	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.29	9.217	98.667	97.833
113	information	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	12.781	12.785	100	99.214
114	information	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.174	10.131	100	99.214
115	information	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.764	10.711	97.619	96.952
116	information	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	8.885	8.844	98.786	98
117	insinuation	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.624	10.6	99.81	99
118	insinuation	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	8.771	8.659	100	99.262
119	insinuation	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.383	10.23	96.619	96.143
120	insinuation	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	8.737	8.484	97.667	97.024
121	intuition	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.825	11.974	100	99
122	intuition	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.339	10.407	99.786	98.833
123	intuition	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.521	10.502	97.762	97.238
124	intuition	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.283	9.212	97.857	97.262
