"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"Item232_Critical_31:EmbBias.C"	-0.012	0.058	-0.205	0.838
"ItemCritical_0:EmbBias.C"	0.013	0.058	0.219	0.827
"ItemCritical_1:EmbBias.C"	0.204	0.058	3.522	0
"ItemCritical_10:EmbBias.C"	0.022	0.058	0.388	0.698
"ItemCritical_11:EmbBias.C"	0.005	0.058	0.079	0.937
"ItemCritical_12:EmbBias.C"	0.013	0.058	0.224	0.823
"ItemCritical_13:EmbBias.C"	0.003	0.058	0.05	0.96
"ItemCritical_14:EmbBias.C"	0	0.058	0.006	0.995
"ItemCritical_15:EmbBias.C"	0.018	0.058	0.303	0.762
"ItemCritical_16:EmbBias.C"	-0.003	0.058	-0.046	0.964
"ItemCritical_17:EmbBias.C"	0.008	0.058	0.142	0.887
"ItemCritical_18:EmbBias.C"	-0.008	0.058	-0.144	0.885
"ItemCritical_19:EmbBias.C"	0.002	0.058	0.028	0.977
"ItemCritical_2:EmbBias.C"	0.001	0.058	0.009	0.993
"ItemCritical_20:EmbBias.C"	-0.096	0.058	-1.649	0.099
"ItemCritical_21:EmbBias.C"	0.003	0.058	0.049	0.961
"ItemCritical_22:EmbBias.C"	-0.088	0.058	-1.524	0.128
"ItemCritical_23:EmbBias.C"	0.198	0.058	3.414	0.001
"ItemCritical_24:EmbBias.C"	0.015	0.058	0.253	0.8
"ItemCritical_25:EmbBias.C"	0.014	0.058	0.249	0.803
"ItemCritical_26:EmbBias.C"	-0.043	0.058	-0.735	0.462
"ItemCritical_27:EmbBias.C"	0.237	0.058	4.086	0
"ItemCritical_28:EmbBias.C"	0.041	0.058	0.709	0.479
"ItemCritical_29:EmbBias.C"	0.064	0.058	1.112	0.266
"ItemCritical_3:EmbBias.C"	0.003	0.058	0.044	0.965
"ItemCritical_30:EmbBias.C"	-0.01	0.058	-0.18	0.857
"ItemCritical_31:EmbBias.C"	-0.095	0.058	-1.631	0.103
"ItemCritical_32:EmbBias.C"	-0.043	0.058	-0.741	0.459
"ItemCritical_33:EmbBias.C"	0.004	0.058	0.077	0.939
"ItemCritical_34:EmbBias.C"	0.036	0.058	0.624	0.532
"ItemCritical_35:EmbBias.C"	0.034	0.058	0.585	0.559
"ItemCritical_36:EmbBias.C"	0.068	0.058	1.178	0.239
"ItemCritical_4:EmbBias.C"	0.009	0.058	0.153	0.878
"ItemCritical_5:EmbBias.C"	0.141	0.058	2.43	0.015
"ItemCritical_7:EmbBias.C"	0.005	0.058	0.08	0.936
"ItemCritical_8:EmbBias.C"	0.024	0.058	0.416	0.677
"ItemCritical_9:EmbBias.C"	0.009	0.058	0.15	0.881
"ItemMixed_1:EmbBias.C"	0.036	0.058	0.621	0.535
"ItemMixed_11:EmbBias.C"	0.142	0.058	2.445	0.014
"ItemMixed_12:EmbBias.C"	0.138	0.058	2.383	0.017
"ItemMixed_13:EmbBias.C"	-0.083	0.058	-1.432	0.152
"ItemMixed_14:EmbBias.C"	0.011	0.058	0.188	0.851
"ItemMixed_15:EmbBias.C"	0.063	0.058	1.087	0.277
"ItemMixed_16:EmbBias.C"	-0.202	0.058	-3.479	0.001
"ItemMixed_17:EmbBias.C"	0.001	0.058	0.018	0.986
"ItemMixed_18:EmbBias.C"	0.005	0.058	0.082	0.934
"ItemMixed_19:EmbBias.C"	-0.066	0.058	-1.14	0.254
"ItemMixed_2:EmbBias.C"	0.052	0.058	0.895	0.371
"ItemMixed_21:EmbBias.C"	0.116	0.058	1.993	0.046
"ItemMixed_22:EmbBias.C"	-0.081	0.058	-1.403	0.161
"ItemMixed_23:EmbBias.C"	0.137	0.058	2.369	0.018
"ItemMixed_24:EmbBias.C"	0.163	0.058	2.808	0.005
"ItemMixed_25:EmbBias.C"	-0.089	0.058	-1.53	0.126
"ItemMixed_26:EmbBias.C"	0.142	0.058	2.454	0.014
"ItemMixed_27:EmbBias.C"	0.242	0.058	4.179	0
"ItemMixed_28:EmbBias.C"	0.049	0.058	0.848	0.396
"ItemMixed_29:EmbBias.C"	0.02	0.058	0.354	0.724
"ItemMixed_3:EmbBias.C"	-0.001	0.058	-0.011	0.991
"ItemMixed_30:EmbBias.C"	0.132	0.058	2.284	0.022
"ItemMixed_31:EmbBias.C"	0.038	0.058	0.65	0.516
"ItemMixed_32:EmbBias.C"	0.046	0.058	0.789	0.43
