"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"RC.C:ItemCritical_6:EmbBias.C"	0.081	0.125	0.646	0.518
"compatible.C:Item232_Critical_1:EmbBias.C"	0.022	0.125	0.174	0.862
"compatible.C:Item232_Critical_10:EmbBias.C"	0.099	0.125	0.788	0.431
"compatible.C:Item232_Critical_11:EmbBias.C"	0.349	0.125	2.787	0.005
"compatible.C:Item232_Critical_12:EmbBias.C"	-0.075	0.125	-0.596	0.551
"compatible.C:Item232_Critical_13:EmbBias.C"	0.048	0.125	0.38	0.704
"compatible.C:Item232_Critical_14:EmbBias.C"	0.02	0.125	0.158	0.874
"compatible.C:Item232_Critical_15:EmbBias.C"	-0.018	0.125	-0.147	0.883
"compatible.C:Item232_Critical_16:EmbBias.C"	0.037	0.125	0.299	0.765
"compatible.C:Item232_Critical_17:EmbBias.C"	0.055	0.125	0.439	0.661
"compatible.C:Item232_Critical_18:EmbBias.C"	0.02	0.125	0.159	0.874
"compatible.C:Item232_Critical_19:EmbBias.C"	0	0.125	-0.002	0.998
"compatible.C:Item232_Critical_2:EmbBias.C"	-0.002	0.125	-0.012	0.99
"compatible.C:Item232_Critical_20:EmbBias.C"	-0.063	0.125	-0.5	0.617
"compatible.C:Item232_Critical_21:EmbBias.C"	-0.008	0.125	-0.067	0.947
"compatible.C:Item232_Critical_23:EmbBias.C"	0.035	0.125	0.28	0.779
"compatible.C:Item232_Critical_24:EmbBias.C"	-0.057	0.125	-0.457	0.648
"compatible.C:Item232_Critical_25:EmbBias.C"	-0.006	0.125	-0.051	0.959
"compatible.C:Item232_Critical_26:EmbBias.C"	0.025	0.125	0.198	0.843
"compatible.C:Item232_Critical_27:EmbBias.C"	0.058	0.125	0.464	0.643
"compatible.C:Item232_Critical_28:EmbBias.C"	-0.01	0.125	-0.082	0.934
"compatible.C:Item232_Critical_3:EmbBias.C"	-0.121	0.125	-0.962	0.336
"compatible.C:Item232_Critical_30:EmbBias.C"	-0.001	0.125	-0.008	0.993
"compatible.C:Item232_Critical_4:EmbBias.C"	0.059	0.125	0.475	0.635
"compatible.C:Item232_Critical_5:EmbBias.C"	-0.037	0.125	-0.293	0.77
"compatible.C:Item232_Critical_6:EmbBias.C"	-0.063	0.125	-0.504	0.615
"compatible.C:Item232_Critical_7:EmbBias.C"	-0.013	0.125	-0.1	0.92
"compatible.C:Item232_Critical_8:EmbBias.C"	0.02	0.125	0.157	0.875
"compatible.C:Item232_Critical_9:EmbBias.C"	-0.02	0.125	-0.161	0.872
"compatible.C:Item238_Critical_Vadv1:EmbBias.C"	-0.144	0.307	-0.469	0.639
"compatible.C:Item238_Critical_VAdv1:EmbBias.C"	-0.004	0.307	-0.015	0.988
"compatible.C:Item238_Critical_Vadv2:EmbBias.C"	-0.008	0.125	-0.06	0.952
"compatible.C:Item238_Critical_Vadv3:EmbBias.C"	0.089	0.125	0.711	0.477
"compatible.C:Item238_Critical_Vadv5:EmbBias.C"	-0.005	0.125	-0.043	0.966
"compatible.C:Item238_Critical_Vadv6:EmbBias.C"	0.003	0.125	0.027	0.979
"compatible.C:Item238_Critical_Vadv7:EmbBias.C"	-0.032	0.125	-0.259	0.796
"compatible.C:Item238_Critical_Vadv8:EmbBias.C"	-0.055	0.125	-0.437	0.662
"compatible.C:Item238_Critical_Vadv9:EmbBias.C"	-0.16	0.125	-1.28	0.201
"compatible.C:Item238_Critical_VN1:EmbBias.C"	-0.096	0.125	-0.77	0.441
"compatible.C:Item238_Critical_VN2:EmbBias.C"	-0.072	0.125	-0.573	0.567
"compatible.C:Item238_Critical_VN3:EmbBias.C"	-0.041	0.125	-0.328	0.743
"compatible.C:Item238_Critical_VN5:EmbBias.C"	0.029	0.125	0.228	0.82
"compatible.C:ItemCritical_6:EmbBias.C"	-0.033	0.125	-0.266	0.79
"Item232_Critical_1:EmbBias.C:SC.C"	0.178	0.14	1.269	0.205
"Item232_Critical_10:EmbBias.C:SC.C"	0.001	0.14	0.008	0.994
"Item232_Critical_11:EmbBias.C:SC.C"	-0.365	0.14	-2.605	0.009
"Item232_Critical_12:EmbBias.C:SC.C"	0.149	0.14	1.066	0.286
"Item232_Critical_13:EmbBias.C:SC.C"	0.057	0.14	0.407	0.684
"Item232_Critical_14:EmbBias.C:SC.C"	-0.016	0.14	-0.112	0.911
"Item232_Critical_15:EmbBias.C:SC.C"	-0.219	0.14	-1.561	0.119
"Item232_Critical_16:EmbBias.C:SC.C"	0.075	0.14	0.534	0.593
"Item232_Critical_17:EmbBias.C:SC.C"	-0.078	0.14	-0.554	0.58
"Item232_Critical_18:EmbBias.C:SC.C"	0.001	0.14	0.006	0.995
"Item232_Critical_19:EmbBias.C:SC.C"	0.161	0.14	1.15	0.25
"Item232_Critical_2:EmbBias.C:SC.C"	-0.005	0.14	-0.038	0.97
"Item232_Critical_20:EmbBias.C:SC.C"	0.062	0.14	0.442	0.659
"Item232_Critical_21:EmbBias.C:SC.C"	0.013	0.14	0.094	0.925
"Item232_Critical_23:EmbBias.C:SC.C"	-0.001	0.14	-0.008	0.993
"Item232_Critical_24:EmbBias.C:SC.C"	-0.322	0.14	-2.302	0.021
"Item232_Critical_25:EmbBias.C:SC.C"	-0.021	0.14	-0.148	0.882
"Item232_Critical_26:EmbBias.C:SC.C"	-0.025	0.14	-0.177	0.859
"Item232_Critical_27:EmbBias.C:SC.C"	0.225	0.14	1.608	0.108
"Item232_Critical_28:EmbBias.C:SC.C"	-0.151	0.14	-1.077	0.281
