ID	deletion_rate	predictability_weight	AICRaw	AIC	AICFull	N	None
262	767723767	0.95	1	5232.128	5201.63	4567.92	5217	
263	618472477	0.8	1	5406.875	5355.252	4682.712	5332	
264	23657459	0.8	1	5394.024	5351.257	4679.334	5332	
265	317993695	0.9	0.5	5273.994	5281.652	4690.607	5332	
266	273304898	0.7	1	4978.813	4994.598	4695.144	5332	
267	502580192	0.5	0	5204.883	5219.761	4678.485	5332	
268	928324256	0.8	0.75	5348.832	5328.448	4686.36	5332	
269	50468428	0.3	1	2687.371	2704.352	2498.623	2691	
270	898729776	0.45	0.75	5024.979	5040.141	4684.051	5332	
271	8940591	0.6	1	4818.216	4831.44	4675.399	5332	
272	377796249	0.7	0.75	5247.968	5253.042	4675.359	5332	
273	148347357	0.45	0.5	5124.678	5141.53	4670.539	5332	
274	441077531	0.4	1	5195.9	5212.924	4672.18	5332	
275	524319314	0.85	1	5337.564	5276.588	4613.293	5236	
276	790980696	0.9	0.5	5373.319	5342.273	4684.128	5332	
277	851093162	0.2	0.5	5304.468	5304.642	4680.466	5332	
278	273752896	0.75	1	5199.436	5209.43	4684.722	5332	
279	89960553	0.25	1	4945.635	4955.605	4658.415	5332	
280	934262149	0.6	0	5176.121	5191.232	4678.798	5332	
281	82355313	0.7	1	4123.107	4138.793	3879.508	4441	
282	346516233	0.5	1	4943.442	4955.538	4672.956	5332	
283	484405563	0.45	0.75	5335.132	5322.009	4693.442	5332	
284	363538432	0.45	0.5	5101.44	5118.951	4667.485	5332	
285	591418991	0.3	0.5	5296.9	5299.872	4681.738	5332	
286	916830717	0.2	1	5249.405	5259.259	4681.764	5332	
287	455557211	0.5	1	5187.773	5203.962	4690.739	5332	
288	859564660	0.65	1	4900.478	4914.533	4686.655	5332	
289	721612181	0.35	0.75	5226.496	5240.199	4689.389	5332	
290	672181030	0.5	1	4975.839	4988.921	4671.292	5332	
291	726204623	0.5	1	4960.894	4968.371	4667.944	5332	
292	873190633	0.6	1	4824.256	4838.76	4617.636	5252	
293	724281717	0.75	1	5294.25	5290.49	4693.904	5332	
294	330562191	0.1	0	5306.34	5306.164	4680.011	5332	
295	650318122	0.3	0.25	5301.674	5303.022	4680.592	5332	
296	774153853	0.35	0.25	5296.027	5298.923	4679.707	5332	
297	873634887	0.6	0.75	4939.178	4953.192	4567.424	5214	
298	853713309	0.55	0.25	5360.621	5334.289	4666.012	5332	
299	847280817	0.1	1	5301.718	5302.928	4680.336	5332	
300	791471582	0.7	0.75	5025.562	5041.121	4611.286	5236	
301	603441140	0.65	0.75	5194.72	5208.119	4669.114	5332	
302	127593579	0.55	1	4822.793	4833.644	4666.424	5332	
303	783146591	0.5	1	4849.744	4857.557	4677.844	5332	
304	567650690	0.65	1	4025.924	4040.457	3812.935	4175	
305	562739043	0.45	1	5128.546	5143.963	4677.955	5332	
306	718377278	0.65	1	4963.066	4978.892	4698.974	5332	
307	589092479	0.6	1	4915.992	4929.841	4688.643	5332	
308	781712348	0.1	0.5	5304.748	5305.142	4680.491	5332	
309	996850657	0.3	0.25	5306.335	5306.234	4681.824	5332	
310	746958356	0.65	1	4832.706	4846.19	4677.399	5332	
311	54997147	0.35	1	5177.725	5194.524	4679.382	5332	
312	256709491	0.45	1	4840.54	4854.86	4675.666	5332	
313	883127501	0.2	1	5235.953	5249.77	4670.356	5332	
314	511979291	0.75	1	3910.657	3901.099	3418.928	3890	
315	7841176	0.55	1	4855.931	4869.219	4669.173	5329	
316	676847448	0.3	0.75	5278.01	5285.361	4680.974	5332	
317	936182990	0.55	0.5	5355.616	5335.054	4683.545	5323	
318	446978247	0.5	0	5222.208	5230.666	4674.729	5332	
319	655995687	0.55	1	4990.346	5005.053	4688.02	5323	
320	335190660	0.5	1	4136.669	4153.492	3949.828	4479	
321	714836471	0.55	0.75	5018.022	5031.87	4695.919	5332	
322	662329282	0.7	1	4515.781	4531.633	4161.362	4620	
323	896283343	0.2	1	5230.533	5245	4669.645	5332	
324	881848254	0.6	1	4668.295	4675.715	4458.017	5033	
325	873616728	0.55	1	4905.761	4921.833	4689.39	5332	
326	650591386	0.35	0.75	5296.411	5299.841	4681.687	5332	
327	394892076	0.2	0.5	5285.345	5291.213	4678.718	5332	
328	880049899	0.35	0.5	5256.259	5268.21	4668.449	5332	
329	215373325	0.35	0	5307.592	5308.017	4676.556	5332	
330	138252063	0.45	0.5	5268.027	5261.41	4668.379	5332	
331	133340030	0.7	0.75	5393.286	5349.108	4690.665	5332	
332	518119754	0.05	0.5	5304.817	5305.011	4679.598	5332	
333	456930113	0.3	0.75	5057.034	5073.877	4611.06	5241	
334	800762128	0.85	0.25	3980.763	3947.738	3548.102	3865	
335	398835814	0.1	0.25	4368.803	4368.814	3861.146	4306	
336	722608447	0.55	0.75	4960.322	4974.604	4651.479	5301	
337	784649362	0.8	1	5421.341	5356.201	4687.861	5332	
338	778085348	0.5	0.5	5006.184	5021.849	4680.752	5332	
339	642990124	0.6	0.75	5142.693	5158.917	4682.364	5332	
340	631984614	0.75	0	5403.9	5355.585	4718.582	5332	
341	28943147	0.6	1	4914.67	4927.563	4664.174	5315	
342	142482733	0.35	0.75	4861.868	4875.541	4605.258	5215	
343	787390428	0.65	0.75	5029.095	5045.428	4682.857	5332	
344	677654577	0.65	0	5334.786	5322.99	4680.243	5332	
345	758862458	0.95	1	4631.303	4613.892	4023.769	4572	
346	765576000	0.15	0.5	5301.283	5302.933	4680.567	5332	
347	42600474	0.75	0	5421.385	5354.752	4716.103	5332	
348	432084766	0.1	0.5	5305.224	5305.368	4679.931	5331	
349	401867575	0.8	0.5	5394.419	5350.985	4683.882	5331	
350	711383115	0.2	0.25	5302.752	5302.315	4676.931	5323	
351	102551254	0.5	1	4729.714	4743.526	4549.526	5149	
352	402848019	0.75	0.5	5332.356	5316.962	4689.946	5332	
353	664100185	0.45	1	4969.176	4983.689	4693.993	5332	
354	644146402	0.85	0.5	5227.219	5242.37	4689.675	5332	
355	1031615	0.6	0.75	5034.681	5050.185	4676.006	5297	
356	682440797	0.35	1	5302.502	5303.928	4683.226	5332	
357	523270566	0.2	0	5306.48	5306.529	4679.744	5332	
358	686250405	0.55	1	4615.415	4631.664	4340.519	4848	
359	358183935	0.3	1	4990.084	5005.194	4676.014	5332	
360	393063309	0.65	1	4922.318	4935.49	4684.332	5332	
361	50508436	0.4	1	2310.467	2326.759	2214.064	2395	
362	418502608	0.15	0	5305.388	5305.542	4680.552	5332	
363	163120810	0.85	1	5367.138	5343.22	4685.495	5332	
364	593838591	0.1	1	5289.482	5293.65	4675.228	5328	
365	50404012	0.3	1	4710.162	4719.183	4191.447	4675	
366	964618677	0.8	0.25	5388.117	5349.256	4673.437	5332	
367	181955061	0.3	0.75	5261.774	5272.242	4677.492	5332	
368	127318031	0.3	0.75	5274.73	5277.175	4660.173	5302	
369	344281565	0.5	1	5199.12	5214.477	4689.318	5332	
370	420714022	0.25	1	5037.112	5053.701	4677.763	5332	
371	172020546	0.6	1	4910.274	4923.238	4669.744	5332	
372	537944641	0.6	0.25	5265.116	5270.282	4670.999	5332	
373	873361662	0.3	1	5210.098	5225.713	4672.273	5332	
374	95679080	0.2	0.75	5305.013	5305.35	4679.815	5332	
375	406295306	0.45	1	5181.978	5198.729	4684.999	5332	
376	679999641	0.4	1	4882.308	4889.032	4662.127	5332	
377	652525081	0.85	0.5	5347.23	5327.193	4683.617	5332	
